root,prompt,classname,classidx
n02016358,a photo of a gallinule.,gallinule,9999
n02014941,a photo of a rail.,rail,9999
n01833805,a photo of a hummingbird.,hummingbird,94
n01795088,a photo of a grouse.,grouse,9999
n01802721,a photo of a phasianid.,phasianid,9999
n01816887,a photo of a parrot.,parrot,9999
n01823013,a photo of a cuckoo.,cuckoo,9999
n01910747,a photo of a jellyfish.,jellyfish,107
n01914609,a photo of a sea anemone.,sea anemone,108
n01915811,a photo of a coral.,coral,9999
n02317335,a photo of a starfish.,starfish,327
n02319095,a photo of a sea urchin.,sea urchin,328
n02321529,a photo of a sea cucumber.,sea cucumber,329
n01726692,a photo of a snake.,snake,9999
n01662784,a photo of a turtle.,turtle,9999
n01697178,a photo of a crocodile.,crocodile,9999
n01698434,a photo of a alligator.,alligator,9999
n01674464,a photo of a lizard.,lizard,9999
n01699831,a photo of a dinosaur.,dinosaur,9999
n01639765,a photo of a frog.,frog,9999
n01629276,a photo of a salamander.,salamander,9999
n09835506,a photo of a ballplayer.,ballplayer,981
n10148035,a photo of a groom.,groom,982
n10565667,a photo of a scuba diver.,scuba diver,983
n13037406,a photo of a gyromitra.,gyromitra,993
n12985857,a photo of a coral fungus.,coral fungus,991
n13040303,a photo of a stinkhorn.,stinkhorn,994
n13044778,a photo of a earthstar.,earthstar,995
dummy20,a photo of a mushroom.,mushroom,9999
n11939491,a photo of a daisy.,daisy,985
n12041446,a photo of a orchid.,orchid,9999
n02788148,a photo of a bannister.,bannister,421
n02894605,a photo of a breakwater.,breakwater,460
n03160309,a photo of a dam.,dam,525
n03327234,a photo of a fence.,fence,9999
n03427296,a photo of a gate.,gate,9999
n03388043,a photo of a fountain.,fountain,562
n02825657,a photo of a bell cote.,bell cote,442
n03899768,a photo of a patio.,patio,706
n04296562,a photo of a stage.,stage,819
n04105068,a photo of a roof.,roof,9999
n03240683,a photo of a drilling platform.,drilling platform,540
n03733281,a photo of a maze.,maze,646
n03216828,a photo of a dock.,dock,536
n03743902,a photo of a memorial.,memorial,9999
n04078574,a photo of a reservoir.,reservoir,9999
n03074380,a photo of a column.,column,9999
n04417809,a photo of a theater.,theater,9999
dummy49,a photo of a dummy49.,dummy49,9999
n03259505,a photo of a dwelling.,dwelling,9999
n03748162,a photo of a mercantile establishment.,mercantile establishment,9999
n03859280,a photo of a outbuilding.,outbuilding,9999
n03953416,a photo of a place of worship.,place of worship,9999
n03316406,a photo of a factory.,factory,9999
dummy46,a photo of a dummy46.,dummy46,9999
n04460130,a photo of a tower.,tower,9999
dummy47,a photo of a dummy47.,dummy47,9999
dummy45,a photo of a dummy45.,dummy45,9999
n04217882,a photo of a signboard.,signboard,9999
n02898711,a photo of a bridge.,bridge,9999
n09246464,a photo of a cliff.,cliff,972
n09288635,a photo of a geyser.,geyser,974
n09256479,a photo of a coral reef.,coral reef,973
n09421951,a photo of a sandbar.,sandbar,977
n09332890,a photo of a lakeside.,lakeside,975
n09428293,a photo of a seashore.,seashore,978
n09399592,a photo of a promontory.,promontory,976
n09468604,a photo of a valley.,valley,979
n09193705,a photo of a alp.,alp,970
n09472597,a photo of a volcano.,volcano,980
n02730930,a photo of a apron.,apron,411
n03763968,a photo of a military uniform.,military uniform,652
n04350905,a photo of a suit.,suit,834
n03236735,a photo of a dress.,dress,9999
n03825080,a photo of a nightwear.,nightwear,9999
n03057021,a photo of a coat.,coat,9999
n04371563,a photo of a swimsuit.,swimsuit,9999
n04489008,a photo of a trouser.,trouser,9999
n04197391,a photo of a shirt.,shirt,9999
n04370048,a photo of a sweater.,sweater,9999
n04508163,a photo of a undergarment.,undergarment,9999
n04230808,a photo of a skirt.,skirt,9999
n03476991,a photo of a hair spray.,hair spray,585
n03916031,a photo of a perfume.,perfume,711
n03714235,a photo of a makeup.,makeup,9999
n03128519,a photo of a cream.,cream,9999
n02680110,a photo of a adhesive bandage.,adhesive bandage,9999
n03141823,a photo of a crutch.,crutch,523
n04507155,a photo of a umbrella.,umbrella,879
n03047690,a photo of a clog.,clog,502
n03623198,a photo of a knee pad.,knee pad,615
n04254777,a photo of a sock.,sock,806
n04434932,a photo of a tights.,tights,9999
n04323819,a photo of a stocking.,stocking,9999
n04199027,a photo of a shoe.,shoe,9999
n02872752,a photo of a boot.,boot,9999
n02834397,a photo of a bib.,bib,443
n03597469,a photo of a jewelry.,jewelry,9999
n04143897,a photo of a scarf.,scarf,9999
n03815615,a photo of a necktie.,necktie,9999
n02887209,a photo of a brace.,brace,9999
n02910353,a photo of a buckle.,buckle,464
n03485794,a photo of a handkerchief.,handkerchief,591
n03314378,a photo of a face mask.,face mask,9999
n04272054,a photo of a spectacles.,spectacles,9999
n03441112,a photo of a glove.,glove,9999
n02862048,a photo of a body armor.,body armor,9999
n03513137,a photo of a helmet.,helmet,9999
n03476083,a photo of a hairpiece.,hairpiece,9999
n02954340,a photo of a cap.,cap,9999
n03043958,a photo of a clip.,clip,9999
n03497657,a photo of a hat.,hat,9999
n04187061,a photo of a sheath.,sheath,9999
n02773037,a photo of a bag.,bag,9999
n02860847,a photo of a bobsled.,bobsled,450
n03218198,a photo of a dogsled.,dogsled,537
n04266014,a photo of a space shuttle.,space shuttle,812
n04347754,a photo of a submarine.,submarine,833
n04194289,a photo of a ship.,ship,9999
n02858304,a photo of a boat.,boat,9999
n02692877,a photo of a airship.,airship,405
n02782093,a photo of a balloon.,balloon,417
n04552348,a photo of a warplane.,warplane,895
n02691156,a photo of a airplane.,airplane,9999
n03538406,a photo of a horse cart.,horse cart,603
n03599486,a photo of a jinrikisha.,jinrikisha,612
n03868242,a photo of a oxcart.,oxcart,690
n03484083,a photo of a handcart.,handcart,9999
n02704792,a photo of a amphibian.,amphibian,408
n03478589,a photo of a half track.,half track,586
n04252077,a photo of a snowmobile.,snowmobile,802
n04389033,a photo of a tank.,tank,847
n04482393,a photo of a tricycle.,tricycle,870
n04509417,a photo of a unicycle.,unicycle,880
n02834778,a photo of a bicycle.,bicycle,9999
n04335435,a photo of a streetcar.,streetcar,829
n03896233,a photo of a passenger train.,passenger train,9999
n03684823,a photo of a locomotive.,locomotive,9999
n02959942,a photo of a car.,car,9999
n02924116,a photo of a bus.,bus,9999
n04490091,a photo of a truck.,truck,9999
n02958343,a photo of a car.,car,9999
n03790512,a photo of a motorcycle.,motorcycle,9999
n07745940,a photo of a strawberry.,strawberry,949
n07747607,a photo of a orange.,orange,950
n07749582,a photo of a lemon.,lemon,951
n07753113,a photo of a fig.,fig,952
n07753275,a photo of a pineapple.,pineapple,953
n07753592,a photo of a banana.,banana,954
n07754684,a photo of a jackfruit.,jackfruit,955
n07760859,a photo of a custard apple.,custard apple,956
n07768694,a photo of a pomegranate.,pomegranate,957
n11879895,a photo of a rapeseed.,rapeseed,984
n12144580,a photo of a corn.,corn,987
n12267677,a photo of a acorn.,acorn,988
n12620546,a photo of a hip.,hip,989
n12768682,a photo of a buckeye.,buckeye,990
n13133613,a photo of a ear.,ear,998
n07739125,a photo of a apple.,apple,9999
n07714990,a photo of a broccoli.,broccoli,937
n07715103,a photo of a cauliflower.,cauliflower,938
n07718472,a photo of a cucumber.,cucumber,943
n07718747,a photo of a artichoke.,artichoke,944
n07730033,a photo of a cardoon.,cardoon,946
n07734744,a photo of a mushroom.,mushroom,947
n07713895,a photo of a cabbage.,cabbage,9999
n07720442,a photo of a pepper.,pepper,9999
n07715561,a photo of a squash.,squash,9999
n07871810,a photo of a meat loaf.,meat loaf,962
n07873807,a photo of a pizza.,pizza,963
n07875152,a photo of a potpie.,potpie,964
n07880968,a photo of a burrito.,burrito,965
n07583197,a photo of a soup.,soup,9999
n07695965,a photo of a sandwich.,sandwich,9999
n07588947,a photo of a stew.,stew,9999
n07710616,a photo of a potato.,potato,9999
n07582609,a photo of a dip.,dip,9999
n07829412,a photo of a sauce.,sauce,9999
n07683786,a photo of a loaf of bread.,loaf of bread,9999
n07681926,a photo of a cracker.,cracker,9999
n07680932,a photo of a bun.,bun,9999
n07612996,a photo of a pudding.,pudding,9999
n07611358,a photo of a frozen dessert.,frozen dessert,9999
n07920052,a photo of a espresso.,espresso,967
n07930554,a photo of a punch.,punch,9999
n07891726,a photo of a wine.,wine,9999
n03207941,a photo of a dishwasher.,dishwasher,534
n03584829,a photo of a iron.,iron,606
n03649909,a photo of a lawn mower.,lawn mower,621
n03761084,a photo of a microwave.,microwave,651
n04070727,a photo of a refrigerator.,refrigerator,760
n04111531,a photo of a rotisserie.,rotisserie,766
n04179913,a photo of a sewing machine.,sewing machine,786
n04265275,a photo of a space heater.,space heater,811
n04330267,a photo of a stove.,stove,827
n04442312,a photo of a toaster.,toaster,859
n04517823,a photo of a vacuum.,vacuum,882
n04542943,a photo of a waffle iron.,waffle iron,891
n04554684,a photo of a washer.,washer,897
n03101156,a photo of a cooker.,cooker,9999
n03063338,a photo of a coffee maker.,coffee maker,9999
n03320046,a photo of a fan.,fan,9999
n03483316,a photo of a hand blower.,hand blower,589
n04039381,a photo of a racket.,racket,752
n04228054,a photo of a ski.,ski,795
n04251144,a photo of a snorkel.,snorkel,801
n02778669,a photo of a ball.,ball,9999
n04571292,a photo of a weight.,weight,9999
n03472232,a photo of a gymnastic apparatus.,gymnastic apparatus,9999
n03657121,a photo of a lens cap.,lens cap,622
n04485082,a photo of a tripod.,tripod,872
n02942699,a photo of a camera.,camera,9999
n02979186,a photo of a cassette player.,cassette player,482
n02988304,a photo of a CD player.,CD player,485
n03085013,a photo of a computer keyboard.,computer keyboard,508
n03529860,a photo of a home theater.,home theater,598
n03602883,a photo of a joystick.,joystick,613
n03759954,a photo of a microphone.,microphone,650
n03777754,a photo of a modem.,modem,662
n03782006,a photo of a monitor.,monitor,664
n03793489,a photo of a mouse.,mouse,673
n03857828,a photo of a oscilloscope.,oscilloscope,688
n03924679,a photo of a photocopier.,photocopier,713
n04004767,a photo of a printer.,printer,742
n04009552,a photo of a projector.,projector,745
n04041544,a photo of a radio.,radio,754
n04074963,a photo of a remote control.,remote control,761
n04392985,a photo of a tape player.,tape player,848
n04404412,a photo of a television.,television,851
n04401088,a photo of a telephone.,telephone,9999
n03196324,a photo of a digital computer.,digital computer,9999
n03211117,a photo of a display.,display,9999
n02757462,a photo of a audio system.,audio system,9999
n02794156,a photo of a barometer.,barometer,426
n04141975,a photo of a scale.,scale,778
n03753077,a photo of a meter.,meter,9999
n04437953,a photo of a timepiece.,timepiece,9999
n03080497,a photo of a compass.,compass,9999
n03735637,a photo of a measuring stick.,measuring stick,9999
n04317175,a photo of a stethoscope.,stethoscope,823
n04376876,a photo of a syringe.,syringe,845
n02666196,a photo of a abacus.,abacus,398
n02841315,a photo of a binoculars.,binoculars,447
n04403638,a photo of a telescope.,telescope,9999
n03760671,a photo of a microscope.,microscope,9999
n03062245,a photo of a cocktail shaker.,cocktail shaker,503
n03633091,a photo of a ladle.,ladle,618
n03733805,a photo of a measuring cup.,measuring cup,647
n03961711,a photo of a plate rack.,plate rack,729
n04131690,a photo of a saltshaker.,saltshaker,773
n04270147,a photo of a spatula.,spatula,813
n04476259,a photo of a tray.,tray,868
n03990474,a photo of a pot.,pot,9999
n03880531,a photo of a pan.,pan,9999
n03623556,a photo of a knife.,knife,9999
n03848348,a photo of a opener.,opener,9999
n02879718,a photo of a bow.,bow,456
n02950826,a photo of a cannon.,cannon,471
n03773504,a photo of a missile.,missile,657
n04008634,a photo of a projectile.,projectile,744
n03343853,a photo of a firearm.,firearm,9999
n02966687,a photo of a carpenter's kit.,carpenter's kit,477
n03000684,a photo of a chain saw.,chain saw,491
n03481172,a photo of a hammer.,hammer,587
n03666591,a photo of a lighter.,lighter,626
n03804744,a photo of a nail.,nail,677
n03876231,a photo of a paintbrush.,paintbrush,696
n03967562,a photo of a plow.,plow,730
n03970156,a photo of a plunger.,plunger,731
n03995372,a photo of a power drill.,power drill,740
n04067472,a photo of a reel.,reel,758
n04153751,a photo of a screw.,screw,783
n04154565,a photo of a screwdriver.,screwdriver,784
n04208210,a photo of a shovel.,shovel,792
n04456115,a photo of a torch.,torch,862
n03682487,a photo of a lock.,lock,9999
n03906997,a photo of a pen.,pen,9999
n04185071,a photo of a sharpener.,sharpener,9999
n03294833,a photo of a eraser.,eraser,9999
n03940256,a photo of a pin.,pin,9999
n07579787,a photo of a plate.,plate,923
n03797390,a photo of a mug.,mug,9999
n03603722,a photo of a jug.,jug,9999
n02876657,a photo of a bottle.,bottle,9999
n03438257,a photo of a glass.,glass,9999
n02880940,a photo of a bowl.,bowl,9999
n04284002,a photo of a spoon.,spoon,9999
n04338517,a photo of a stringed instrument.,stringed instrument,9999
n03614532,a photo of a keyboard instrument.,keyboard instrument,9999
n04586932,a photo of a wind instrument.,wind instrument,9999
n03915437,a photo of a percussion instrument.,percussion instrument,9999
n03637318,a photo of a lampshade.,lampshade,619
n04380533,a photo of a table lamp.,table lamp,846
n04033995,a photo of a quilt.,quilt,750
n03207743,a photo of a dishrag.,dishrag,533
n04459362,a photo of a towel.,towel,9999
n03727837,a photo of a mat.,mat,9999
n04118021,a photo of a rug.,rug,9999
n03151500,a photo of a cushion.,cushion,9999
n03151077,a photo of a curtain.,curtain,9999
n03347037,a photo of a fire screen.,fire screen,556
n03788365,a photo of a mosquito net.,mosquito net,669
n04201297,a photo of a shoji.,shoji,789
n04589890,a photo of a window screen.,window screen,904
n04590129,a photo of a window shade.,window shade,905
n02870880,a photo of a bookcase.,bookcase,453
n03290653,a photo of a entertainment center.,entertainment center,548
n04550184,a photo of a wardrobe.,wardrobe,894
n03015254,a photo of a chest of drawers.,chest of drawers,9999
n02933112,a photo of a cabinet.,cabinet,9999
n04239074,a photo of a sliding door.,sliding door,799
n03179701,a photo of a desk.,desk,526
n03201208,a photo of a dining table.,dining table,532
n03982430,a photo of a pool table.,pool table,736
n04447861,a photo of a toilet seat.,toilet seat,861
n03001627,a photo of a chair.,chair,9999
n04256520,a photo of a sofa.,sofa,9999
n03014705,a photo of a chest.,chest,492
n02766320,a photo of a baby bed.,baby bed,9999
n02818832,a photo of a bed.,bed,9999
